model_type,restricted_model,equation,source_variable,restriction_type,removed_parameters,remaining_block_parameters,granger_p_value,classical_block_f_p_value,min_hc3_p_value_in_block,min_hac_p_value_in_block,economic_override,imposed,decision_rule,reason,Acceptable if
VAR,Restricted_VAR_block_parsimony,INF,INF,retain source block,0,5,,0.0,0.0,0.0,True,False,"drop only if not protected and Granger, block F, HC3, and HAC evidence are all weak at p>=0.05",own lags are retained to preserve persistence and dynamic adjustment,restrictions are defensible only when forecast/residual diagnostics do not deteriorate materially
VAR,Restricted_VAR_block_parsimony,INF,FEDFUNDS,retain source block,0,5,0.0596,0.0619,0.0909,0.0238,True,False,"drop only if not protected and Granger, block F, HC3, and HAC evidence are all weak at p>=0.05",FEDFUNDS lag block is retained as a theoretically central monetary-policy channel,restrictions are defensible only when forecast/residual diagnostics do not deteriorate materially
VAR,Restricted_VAR_block_parsimony,INF,UNRATE,drop all lagged coefficients from source block,5,0,0.375,0.3769,0.4328,0.1254,False,True,"drop only if not protected and Granger, block F, HC3, and HAC evidence are all weak at p>=0.05",removed because the source block does not show Granger/block evidence and robust lag-level evidence is weak,restrictions are defensible only when forecast/residual diagnostics do not deteriorate materially
VAR,Restricted_VAR_block_parsimony,INF,INDPRO_GROWTH,drop all lagged coefficients from source block,5,0,0.1668,0.1696,0.3049,0.1941,False,True,"drop only if not protected and Granger, block F, HC3, and HAC evidence are all weak at p>=0.05",removed because the source block does not show Granger/block evidence and robust lag-level evidence is weak,restrictions are defensible only when forecast/residual diagnostics do not deteriorate materially
VAR,Restricted_VAR_block_parsimony,INF,SENTIMENT_CHANGE,drop all lagged coefficients from source block,5,0,0.4293,0.4307,0.1651,0.1393,False,True,"drop only if not protected and Granger, block F, HC3, and HAC evidence are all weak at p>=0.05",removed because the source block does not show Granger/block evidence and robust lag-level evidence is weak,restrictions are defensible only when forecast/residual diagnostics do not deteriorate materially
VAR,Restricted_VAR_block_parsimony,FEDFUNDS,INF,retain source block,0,5,0.0463,0.0485,0.1556,0.1028,True,False,"drop only if not protected and Granger, block F, HC3, and HAC evidence are all weak at p>=0.05",INF -> FEDFUNDS is retained because it represents a plausible policy-reaction channel,restrictions are defensible only when forecast/residual diagnostics do not deteriorate materially
VAR,Restricted_VAR_block_parsimony,FEDFUNDS,FEDFUNDS,retain source block,0,5,,0.0,0.0,0.0,True,False,"drop only if not protected and Granger, block F, HC3, and HAC evidence are all weak at p>=0.05",own lags are retained to preserve persistence and dynamic adjustment,restrictions are defensible only when forecast/residual diagnostics do not deteriorate materially
VAR,Restricted_VAR_block_parsimony,FEDFUNDS,UNRATE,retain source block,0,5,0.0028,0.0032,0.299,0.003,False,False,"drop only if not protected and Granger, block F, HC3, and HAC evidence are all weak at p>=0.05","retained because predictive, joint, robust, or economic evidence is not weak enough",restrictions are defensible only when forecast/residual diagnostics do not deteriorate materially
VAR,Restricted_VAR_block_parsimony,FEDFUNDS,INDPRO_GROWTH,retain source block,0,5,0.0123,0.0134,0.1103,0.0031,False,False,"drop only if not protected and Granger, block F, HC3, and HAC evidence are all weak at p>=0.05","retained because predictive, joint, robust, or economic evidence is not weak enough",restrictions are defensible only when forecast/residual diagnostics do not deteriorate materially
VAR,Restricted_VAR_block_parsimony,FEDFUNDS,SENTIMENT_CHANGE,drop all lagged coefficients from source block,5,0,0.5835,0.584,0.3288,0.3403,False,True,"drop only if not protected and Granger, block F, HC3, and HAC evidence are all weak at p>=0.05",removed because the source block does not show Granger/block evidence and robust lag-level evidence is weak,restrictions are defensible only when forecast/residual diagnostics do not deteriorate materially
