model,candidate,lag_order,diagnostic_type,equation,test,Acceptable if,durbin_watson,ljung_box_lag,ljung_box_p_value,max_abs_acf_lag_1_to_24,acf_confidence_bound,acf_exceedance_count,acf_exceedance_share,jarque_bera_p_value,arch_lm_p_value,portmanteau_p_value,system_normality_p_value,stable,source_residual,target_residual,lag_of_max_abs_ccf,ccf_at_max_abs_lag,max_abs_ccf
VAR_D_FEDFUNDS,VAR_D_FEDFUNDS_core_sentiment,1,equation_residual,INF,"DW, Ljung-Box, ACF, Jarque-Bera, ARCH-LM",DW near 2; Ljung-Box/JB/ARCH p-values > 0.05 preferred; positive-lag ACF exceedances should be limited,1.826095941133174,12.0,0.0012223701410205721,0.17191527103216894,0.10660994547120255,6.0,0.25,3.3039003146333465e-42,2.241104894539117e-06,3.0180964653195846e-15,0.0,True,,,,,
VAR_D_FEDFUNDS,VAR_D_FEDFUNDS_core_sentiment,1,equation_residual,D_FEDFUNDS,"DW, Ljung-Box, ACF, Jarque-Bera, ARCH-LM",DW near 2; Ljung-Box/JB/ARCH p-values > 0.05 preferred; positive-lag ACF exceedances should be limited,2.146418141367354,12.0,0.0197807377851414,0.16486536630279094,0.10660994547120255,2.0,0.08333333333333333,0.0,0.3525592963591303,3.0180964653195846e-15,0.0,True,,,,,
VAR_D_FEDFUNDS,VAR_D_FEDFUNDS_core_sentiment,1,equation_residual,UNRATE,"DW, Ljung-Box, ACF, Jarque-Bera, ARCH-LM",DW near 2; Ljung-Box/JB/ARCH p-values > 0.05 preferred; positive-lag ACF exceedances should be limited,2.0841657539853884,12.0,0.6813107594592855,0.08567317035568793,0.10660994547120255,0.0,0.0,0.0,0.9962308642071306,3.0180964653195846e-15,0.0,True,,,,,
VAR_D_FEDFUNDS,VAR_D_FEDFUNDS_core_sentiment,1,equation_residual,INDPRO_GROWTH,"DW, Ljung-Box, ACF, Jarque-Bera, ARCH-LM",DW near 2; Ljung-Box/JB/ARCH p-values > 0.05 preferred; positive-lag ACF exceedances should be limited,1.814963971852559,12.0,0.0002109644497684471,0.1970526604615727,0.10660994547120255,3.0,0.125,0.0,0.014851213890080412,3.0180964653195846e-15,0.0,True,,,,,
VAR_D_FEDFUNDS,VAR_D_FEDFUNDS_core_sentiment,1,equation_residual,SENTIMENT_CHANGE,"DW, Ljung-Box, ACF, Jarque-Bera, ARCH-LM",DW near 2; Ljung-Box/JB/ARCH p-values > 0.05 preferred; positive-lag ACF exceedances should be limited,2.0111099357822475,12.0,0.007009934659150414,0.21508351740273177,0.10660994547120255,2.0,0.08333333333333333,1.5002311000555903e-05,0.25550849279632615,3.0180964653195846e-15,0.0,True,,,,,
VAR_D_FEDFUNDS,VAR_D_FEDFUNDS_core_sentiment,1,lagged_cross_correlation,,Residual lagged cross-correlation,smaller absolute cross-correlations indicate weaker remaining cross-equation residual dependence; lag 0 is meaningful for cross-series residuals,,,,,,,,,,3.0180964653195846e-15,0.0,True,INF,INF,11.0,0.17191527103216894,0.17191527103216894
VAR_D_FEDFUNDS,VAR_D_FEDFUNDS_core_sentiment,1,lagged_cross_correlation,,Residual lagged cross-correlation,smaller absolute cross-correlations indicate weaker remaining cross-equation residual dependence; lag 0 is meaningful for cross-series residuals,,,,,,,,,,3.0180964653195846e-15,0.0,True,INF,D_FEDFUNDS,0.0,0.17477206247537713,0.17477206247537713
VAR_D_FEDFUNDS,VAR_D_FEDFUNDS_core_sentiment,1,lagged_cross_correlation,,Residual lagged cross-correlation,smaller absolute cross-correlations indicate weaker remaining cross-equation residual dependence; lag 0 is meaningful for cross-series residuals,,,,,,,,,,3.0180964653195846e-15,0.0,True,INF,UNRATE,0.0,-0.15628505948738863,0.15628505948738863
VAR_D_FEDFUNDS,VAR_D_FEDFUNDS_core_sentiment,1,lagged_cross_correlation,,Residual lagged cross-correlation,smaller absolute cross-correlations indicate weaker remaining cross-equation residual dependence; lag 0 is meaningful for cross-series residuals,,,,,,,,,,3.0180964653195846e-15,0.0,True,INF,INDPRO_GROWTH,0.0,0.12814438526753205,0.12814438526753205
VAR_D_FEDFUNDS,VAR_D_FEDFUNDS_core_sentiment,1,lagged_cross_correlation,,Residual lagged cross-correlation,smaller absolute cross-correlations indicate weaker remaining cross-equation residual dependence; lag 0 is meaningful for cross-series residuals,,,,,,,,,,3.0180964653195846e-15,0.0,True,INF,SENTIMENT_CHANGE,5.0,-0.11804344578157715,0.11804344578157715
